bookname2019_2,bookprice2019_2,bookname2018_2,bookprice2018_2
أربعون 40,51.0,الطفل في الأسرة,26.25
ناقة صالحة,37.5,الطهارة,18.45
سيدات القمر,32.06,"المغالطات المنطقية ""فصول في المنطق غير الصوري""",46.88
"الإنسان يبحث عن المعني ""مقدمة في العلاج بالمعني التسامي بالنفس""",26.25,الكتاب والقرآن - رؤية جديدة,54.0
إن مع الصبر نصراً,44.63,يونة الإنسان,35.63
قواعد العشق الأربعون,50.63,عزاءات الفلسفة ؛ كيف تساعدنا الفلسفة في الحياة,36.56
وليمة للغربان,112.5,الجريمة والعقاب,70.31
كيف تتقن لعبة الحياة,67.69,الحرية ؛ شجاعتك أن تكون كما أنت,22.31
زلة العقل البشري,41.44,"خريف شجرة الرمان ""اخر ايام غرناطة""",45.0
حارس سطح العالم,35.63,مذكرات طالب ؛ الخطة الفاشلة,23.16
صاحب الظل الطويل,31.88,مهنة الشر,60.75
الكويت ؛ من النشأة إلى الاستقلال - من الدستور إلى الاحتلال - من التحرير إلى الاحتلال,114.7,أبحاث في التاريخ الجغرافي للقرآن والتوراة ولهجات أهل السراة,45.0
بريد الليل,28.5,قواعد السطوة,43.13
رواء مكة - سيرة روائية,31.88,مختصر الجامع في السيرة النبوية,125.1
حفيدة صدام,118.1,سر الطفولة,33.75
تصميم البحث النوعي دراسة معمقة في خمسة أساليب,124.6,الخائفون,32.06
البنت التي لا تحب اسمها,24.94,التقاسيم Taqasim,95.63
حروب الرحماء,45.0,دودة الحرير,60.75
لعبة العروش,131.2,مذكرات طالب ؛ أيام زمان,23.16
وعاظ السلاطين,41.44,بائعة الكتب,66.94
النبيذة,38.25,النباتية,25.5
"طريقة مونتيسوري المتقدمة ""الأصول العلمية للتدريس وتطبيقه على تربية الأطفال""",31.88,السعودية سيرة دولة ومجتمع (قراءة في تجربة ثلث قرن من التحولات الفكرية والسياسية والتنموية),90.0
كافكا على الشاطئ,51.0,التخلف الاجتماعي مدخل إلى سيكولوجية الإنسان المقهور,28.13
لماذا ننام ؛ اكتشف طاقة النوم والأحلام,51.0,صديقتي المذهلة ؛ الطفولة والمراهقة,64.13
مختصر تاريخ سراة خولان جبال العبادل في منطقة جازان - الجزء الثاني ؛ الإطار التاريخي لمنطقة الدراسة ( من قبل الإسلام إلى عصرنا الحاضر ),90.0,الساق فوق الساق في ثبوت رؤية هلال العشاق,25.31
الكل يكذب : البيانات الضخمة ؛ والبيانات الحديثة وقدرة الإنترنت على اكتشاف الخفايا,47.81,مغامرة العقل الأولى ؛ دراسة في الأسطورة سوريا وبلاد الرافدين,50.63
جمهورية كأن -لا يباع داخل مصر-,67.5,ن الملح,159.3
عطب الذات : وقائع ثورة لم تكتمل سورية 2011-2012,57.38,بنات حواء الثلاث,71.25
مختصر تاريخ سراة خولان جبال العبادل في منطقة جازان - الجزء الأول ؛ الإطار الجغرافي ( الأرض والإنسان ),76.5,شغف,36.66
استعباد العالم,71.25,1Q84 - الكتاب الثاني,50.63
رحلة الدم,39.38,"الأفكار الأساسية لنظرية مونتيسوري  التعليمية ""مقتطفات من تعاليم وكتابات ماريا مونتيسوري""",33.75
متاهة الأرواح,75.0,في غرفة العنكبوت,31.88
